"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"VI210625.059","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VPC",6,1,538854.55049271,278780.804700293,260073.745792417,2024082.42436456,1658520.05381955,323970.09591351,41592.2746315055,3.75626859328517,1.0719298245614
"VI210625.012","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VP",6,2,564732.393334051,270824.721206334,293907.672127717,1848090.19229756,1483245.8185414,315516.505154861,49327.8686013003,3.27250608272506,0.921461897356143
"VI210625.060","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VPC",6,2,547785.841384854,281764.062519906,266021.778864948,2145227.37005544,1808094.49129516,293247.090136618,43885.7886236688,3.91617892976589,1.05917667238422
"VI210625.013","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VP",6,3,527175.17009529,265986.951881629,261188.218213661,2193204.43266837,1776274.83625367,359806.600399367,57122.9960153327,4.16029539530843,1.01837270341207
"VI210625.061","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VPC",6,3,570457.579803374,293899.745114698,276557.834688676,2329578.37436765,1939925.57285061,343904.092027188,45748.7094898552,4.08370132476917,1.06270627062706
"VI210625.029","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VP",9,1,574007.195414355,289401.95646239,284605.238951964,2387517.26143721,1987178.29445671,350211.538253757,50127.4287267359,4.15938559744664,1.01685393258427
"VI210625.077","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VPC",9,1,576411.77373147,264893.436064542,311518.337666929,2200876.18253727,1827002.17200795,333309.018428488,40564.9921008302,3.81823599523242,0.8503301540719
"VI210625.030","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VP",9,2,557747.665841476,272478.691789059,285268.974052418,1990876.34284249,1609408.67878863,325096.478089812,56371.1859640413,3.56949291726545,0.955164131305044
"VI210625.078","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VPC",9,2,577785.818484108,273351.202099285,304434.616384823,1703013.96716491,1373716.74590594,282863.621258555,46433.6000004131,2.94748315497424,0.897897897897898
"VI210625.031","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VP",9,3,539885.084057188,276337.120012351,263547.964044837,2364158.50064237,1942311.33916934,368095.66831759,53751.4931554337,4.37900318133616,1.04852686308492
"VI210625.079","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VPC",9,3,576869.788649016,266950.837219513,309918.951429503,2037364.85697339,1673646.16399184,322305.178434147,41413.5145474043,3.53175863437872,0.861356932153392
"VI210625.032","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VP",12,1,534846.919964183,277243.45039988,257603.469564303,2309425.71799564,1898785.56332798,355313.706440762,55326.4482268959,4.31791907514451,1.07624113475177
"VI210625.080","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VPC",12,1,567251.475380553,266484.778522855,300766.696857699,2063471.70727351,1726463.50895489,291983.722925348,45024.4753932687,3.63766653209528,0.886018237082067
"VI210625.033","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VP",12,2,530037.763329952,272440.780548312,257596.98278164,2248051.71904449,1811226.50349556,374939.75429057,61885.4612583589,4.24130481745517,1.05762411347518
"VI210625.081","Viruses",2020-09-20,2021-06-25,"PE477",5,1,"VPC",12,2,549388.893596264,255726.361037529,293662.532558735,1568128.57394765,1270087.85826519,258182.528310959,39858.1873715097,2.85431429762401,0.870817120622568
